TF	ID	TQ	TA	TR	TS	Ti	TC	TW	Tserv
84	61	82	82	83	84	1	1	2	0
84	58	76	76	77	78	1	1	2	6
83	49	66	66	67	68	1	1	2	15
82	60	80	80	81	82	1	1	2	0
79	46	64	64	65	66	1	1	2	13
78	45	62	62	63	64	1	1	2	14
77	50	68	68	69	70	1	1	2	7
77	48	66	66	67	68	1	1	2	9
76	51	69	69	70	71	1	1	2	5
75	55	73	73	74	75	1	1	2	0
75	54	73	73	74	75	1	1	2	0
75	43	59	59	60	61	1	1	2	14
74	44	60	60	61	62	1	1	2	12
73	52	71	71	72	73	1	1	2	0
73	36	48	48	49	50	1	1	2	23
72	35	47	47	48	49	1	1	2	23
68	39	52	52	53	54	1	1	2	14
64	38	50	50	51	52	1	1	2	12
63	41	56	56	57	58	1	1	2	5
59	42	57	57	58	59	1	1	2	0
58	24	32	32	33	34	1	1	2	24
56	30	41	41	42	43	1	1	2	13
55	40	53	53	54	55	1	1	2	0
55	27	37	37	38	39	1	1	2	16
54	37	48	48	49	50	1	1	2	4
54	18	24	24	25	26	1	1	2	28
52	31	41	41	42	43	1	1	2	9
50	33	43	43	44	45	1	1	2	5
50	32	43	43	44	45	1	1	2	5
48	26	36	36	37	38	1	1	2	10
47	34	45	45	46	47	1	1	2	0
47	23	31	31	32	33	1	1	2	14
46	28	39	39	40	41	1	1	2	5
46	15	20	20	21	22	1	1	2	24
42	19	24	24	25	26	1	1	2	16
41	29	39	39	40	41	1	1	2	0
39	21	28	28	29	30	1	1	2	9
36	25	34	34	35	36	1	1	2	0
32	17	22	22	23	24	1	1	2	8
32	8	11	11	12	13	1	1	2	19
32	6	6	6	7	8	1	1	2	24
31	22	29	29	30	31	1	1	2	0
31	16	21	21	22	23	1	1	2	8
30	12	16	16	17	18	1	1	2	12
28	20	26	26	27	28	1	1	2	0
25	7	9	9	10	11	1	1	2	14
20	14	18	18	19	20	1	1	2	0
20	10	14	14	15	16	1	1	2	4
19	5	4	4	5	6	1	1	2	13
18	13	16	16	17	18	1	1	2	0
18	11	16	16	17	18	1	1	2	0
15	4	3	3	4	5	1	1	2	10
14	9	12	12	13	14	1	1	2	0
9	1	3	3	4	5	1	1	2	4
9	2	3	3	4	5	1	1	2	4


Total Orders: 686 [ODG: 116, ODN: 97, OT: 122, OVC: 130, OVG: 112, OVN: 109]
Total Chefs: 17 [CS: 12, CN: 5]
Total Scooters: 2
Finished Orders: 98.105%, Cancelled Orders: 1.89504%
Overwait Orders: 0%
Averages for Finished Orders => Ti: 39.9718, TC: 1, Tw: 40.9718, Tserv: 11.2541
Scooters Utilization: 53.7994%
Chefs Utilization: 4.08844%
